Team,Result,Margin,BR,Toss,Bat,Opposition,Ground,Date
Pakistan,lost,18 runs,0,won,2nd,India,Dhaka,11-Jan-98
Australia,won,131 runs,0,won,1st,New Zealand,Sydney,14-Jan-98
New Zealand,lost,131 runs,0,lost,2nd,Australia,Sydney,14-Jan-98
India,won,8 wickets,53,lost,2nd,Pakistan,Dhaka,14-Jan-98
Pakistan,lost,8 wickets,53,won,1st,India,Dhaka,14-Jan-98
Pakistan,won,6 wickets,111,lost,2nd,India,Dhaka,16-Jan-98
India,lost,6 wickets,111,won,1st,Pakistan,Dhaka,16-Jan-98
South Africa,won,67 runs,0,won,1st,New Zealand,Perth,16-Jan-98
New Zealand,lost,67 runs,0,lost,2nd,South Africa,Perth,16-Jan-98
India,won,3 wickets,1,won,2nd,Pakistan,Dhaka,18-Jan-98
Pakistan,lost,3 wickets,1,lost,1st,India,Dhaka,18-Jan-98
South Africa,won,7 wickets,130,lost,2nd,Australia,Perth,18-Jan-98
Australia,lost,7 wickets,130,won,1st,South Africa,Perth,18-Jan-98
New Zealand,won,4 wickets,5,lost,2nd,Australia,Melbourne,21-Jan-98
Australia,lost,4 wickets,5,won,1st,New Zealand,Melbourne,21-Jan-98
South Africa,won,6 runs,0,won,1st,Australia,Melbourne,23-Jan-98
Australia,lost,6 runs,0,lost,2nd,South Africa,Melbourne,23-Jan-98
Australia,won,7 wickets,49,lost,2nd,South Africa,Sydney,26-Jan-98
South Africa,lost,7 wickets,49,won,1st,Australia,Sydney,26-Jan-98
Australia,won,14 runs,0,won,1st,South Africa,Sydney,27-Jan-98
South Africa,lost,14 runs,0,lost,2nd,Australia,Sydney,27-Jan-98
Australia,won,7 wickets,70,lost,2nd,New Zealand,Christchurch,8-Feb-98
New Zealand,lost,7 wickets,70,won,1st,Australia,Christchurch,8-Feb-98
Australia,won,66 runs,0,won,1st,New Zealand,Wellington,10-Feb-98
New Zealand,lost,66 runs,0,lost,2nd,Australia,Wellington,10-Feb-98
New Zealand,won,7 wickets,10,lost,2nd,Australia,Napier,12-Feb-98
Australia,lost,7 wickets,10,won,1st,New Zealand,Napier,12-Feb-98
New Zealand,won,30 runs,0,lost,1st,Australia,Auckland,14-Feb-98
Australia,lost,30 runs,0,won,2nd,New Zealand,Auckland,14-Feb-98
England,won,16 runs,0,lost,1st,West Indies,Bridgetown,29-Mar-98
West Indies,lost,16 runs,0,won,2nd,England,Bridgetown,29-Mar-98
India,won,41 runs,0,won,1st,Australia,Kochi,1-Apr-98
Australia,lost,41 runs,0,lost,2nd,India,Kochi,1-Apr-98
West Indies,won,1 wickets,1,won,2nd,England,Bridgetown,1-Apr-98
England,lost,1 wickets,1,lost,1st,West Indies,Bridgetown,1-Apr-98
South Africa,won,52 runs,0,won,1st,Pakistan,Durban,3-Apr-98
Pakistan,lost,52 runs,0,lost,2nd,South Africa,Durban,3-Apr-98
West Indies,won,5 wickets,11,lost,2nd,England,Kingstown,4-Apr-98
England,lost,5 wickets,11,won,1st,West Indies,Kingstown,4-Apr-98
South Africa,won,57 runs,0,won,1st,Sri Lanka,Johannesburg,5-Apr-98
Sri Lanka,lost,57 runs,0,lost,2nd,South Africa,Johannesburg,5-Apr-98
West Indies,won,4 wickets,74,lost,2nd,England,Kingstown,5-Apr-98
England,lost,4 wickets,74,won,1st,West Indies,Kingstown,5-Apr-98
India,won,6 wickets,33,lost,2nd,Australia,Kanpur,7-Apr-98
Australia,lost,6 wickets,33,won,1st,India,Kanpur,7-Apr-98
Pakistan,won,4 wickets,12,lost,2nd,Sri Lanka,Kimberley,7-Apr-98
Sri Lanka,lost,4 wickets,12,won,1st,Pakistan,Kimberley,7-Apr-98
West Indies,won,57 runs,0,won,1st,England,Port of Spain,8-Apr-98
England,lost,57 runs,0,lost,2nd,West Indies,Port of Spain,8-Apr-98
Pakistan,won,110 runs,0,won,1st,Sri Lanka,Paarl,9-Apr-98
Sri Lanka,lost,110 runs,0,lost,2nd,Pakistan,Paarl,9-Apr-98
South Africa,won,3 wickets,22,won,2nd,Pakistan,East London,11-Apr-98
Pakistan,lost,3 wickets,22,lost,1st,South Africa,East London,11-Apr-98
Sri Lanka,won,6 wickets,20,lost,2nd,South Africa,Port Elizabeth,13-Apr-98
South Africa,lost,6 wickets,20,won,1st,Sri Lanka,Port Elizabeth,13-Apr-98
Australia,won,4 wickets,8,lost,2nd,India,Delhi,14-Apr-98
India,lost,4 wickets,8,won,1st,Australia,Delhi,14-Apr-98
Sri Lanka,won,115 runs,0,lost,1st,Pakistan,Benoni,15-Apr-98
Pakistan,lost,115 runs,0,won,2nd,Sri Lanka,Benoni,15-Apr-98
South Africa,won,7 wickets,87,lost,2nd,Pakistan,Centurion,17-Apr-98
Pakistan,lost,7 wickets,87,won,1st,South Africa,Centurion,17-Apr-98
India,won,15 runs,0,won,1st,New Zealand,Sharjah,17-Apr-98
New Zealand,lost,15 runs,0,lost,2nd,India,Sharjah,17-Apr-98
Australia,won,6 wickets,79,lost,2nd,New Zealand,Sharjah,18-Apr-98
New Zealand,lost,6 wickets,79,won,1st,Australia,Sharjah,18-Apr-98
South Africa,won,5 wickets,141,won,2nd,Sri Lanka,Bloemfontein,19-Apr-98
Sri Lanka,lost,5 wickets,141,lost,1st,South Africa,Bloemfontein,19-Apr-98
Australia,won,58 runs,0,won,1st,India,Sharjah,19-Apr-98
India,lost,58 runs,0,lost,2nd,Australia,Sharjah,19-Apr-98
New Zealand,won,4 wickets,6,lost,2nd,India,Sharjah,20-Apr-98
India,lost,4 wickets,6,won,1st,New Zealand,Sharjah,20-Apr-98
Australia,won,5 wickets,13,lost,2nd,New Zealand,Sharjah,21-Apr-98
New Zealand,lost,5 wickets,13,won,1st,Australia,Sharjah,21-Apr-98
Australia,won,26 runs,0,won,1st,India,Sharjah,22-Apr-98
India,lost,26 runs,0,lost,2nd,Australia,Sharjah,22-Apr-98
South Africa,won,9 wickets,134,won,2nd,Pakistan,Cape Town,23-Apr-98
Pakistan,lost,9 wickets,134,lost,1st,South Africa,Cape Town,23-Apr-98
India,won,6 wickets,9,won,2nd,Australia,Sharjah,24-Apr-98
Australia,lost,6 wickets,9,lost,1st,India,Sharjah,24-Apr-98
South Africa,won,3 wickets,8,won,2nd,England,The Oval,21-May-98
England,lost,3 wickets,8,lost,1st,South Africa,The Oval,21-May-98
South Africa,won,32 runs,0,lost,1st,England,Manchester,23-May-98
England,lost,32 runs,0,won,2nd,South Africa,Manchester,23-May-98
England,won,7 wickets,90,lost,2nd,South Africa,Leeds,24-May-98
South Africa,lost,7 wickets,90,won,1st,England,Leeds,24-May-98
India,won,8 wickets,38,lost,2nd,Sri Lanka,Colombo (RPS),19-Jun-98
Sri Lanka,lost,8 wickets,38,won,1st,India,Colombo (RPS),19-Jun-98
Sri Lanka,won,7 wickets,60,lost,2nd,New Zealand,Colombo (RPS),21-Jun-98
New Zealand,lost,7 wickets,60,won,1st,Sri Lanka,Colombo (RPS),21-Jun-98
Sri Lanka,won,8 runs,0,lost,1st,India,Colombo (SSC),1-Jul-98
India,lost,8 runs,0,won,2nd,Sri Lanka,Colombo (SSC),1-Jul-98
Sri Lanka,won,87 runs,0,lost,1st,New Zealand,Colombo (SSC),5-Jul-98
New Zealand,lost,87 runs,0,won,2nd,Sri Lanka,Colombo (SSC),5-Jul-98
India,won,6 runs,0,won,1st,Sri Lanka,Colombo (RPS),7-Jul-98
Sri Lanka,lost,6 runs,0,lost,2nd,India,Colombo (RPS),7-Jul-98
Sri Lanka,won,57 runs,0,lost,1st,South Africa,Nottingham,14-Aug-98
South Africa,lost,57 runs,0,won,2nd,Sri Lanka,Nottingham,14-Aug-98
England,won,36 runs,0,lost,1st,Sri Lanka,Lord's,16-Aug-98
Sri Lanka,lost,36 runs,0,won,2nd,England,Lord's,16-Aug-98
South Africa,won,14 runs,0,won,1st,England,Birmingham,18-Aug-98
England,lost,14 runs,0,lost,2nd,South Africa,Birmingham,18-Aug-98
Sri Lanka,won,5 wickets,17,lost,2nd,England,Lord's,20-Aug-98
England,lost,5 wickets,17,won,1st,Sri Lanka,Lord's,20-Aug-98
India,won,6 wickets,38,won,2nd,Pakistan,Toronto,12-Sep-98
Pakistan,lost,6 wickets,38,lost,1st,India,Toronto,12-Sep-98
Pakistan,won,51 runs,0,lost,1st,India,Toronto,13-Sep-98
India,lost,51 runs,0,won,2nd,Pakistan,Toronto,13-Sep-98
Pakistan,won,77 runs,0,lost,1st,India,Toronto,16-Sep-98
India,lost,77 runs,0,won,2nd,Pakistan,Toronto,16-Sep-98
Pakistan,won,134 runs,0,lost,1st,India,Toronto,19-Sep-98
India,lost,134 runs,0,won,2nd,Pakistan,Toronto,19-Sep-98
Pakistan,won,5 wickets,10,lost,2nd,India,Toronto,20-Sep-98
India,lost,5 wickets,10,won,1st,Pakistan,Toronto,20-Sep-98
South Africa,won,6 wickets,20,lost,2nd,England,Dhaka,25-Oct-98
England,lost,6 wickets,20,won,1st,South Africa,Dhaka,25-Oct-98
Sri Lanka,won,5 wickets,51,won,2nd,New Zealand,Dhaka,26-Oct-98
New Zealand,lost,5 wickets,51,lost,1st,Sri Lanka,Dhaka,26-Oct-98
India,won,44 runs,0,lost,1st,Australia,Dhaka,28-Oct-98
Australia,lost,44 runs,0,won,2nd,India,Dhaka,28-Oct-98
West Indies,won,30 runs,0,won,1st,Pakistan,Dhaka,29-Oct-98
Pakistan,lost,30 runs,0,lost,2nd,West Indies,Dhaka,29-Oct-98
South Africa,won,92 runs,0,lost,1st,Sri Lanka,Dhaka,30-Oct-98
Sri Lanka,lost,92 runs,0,won,2nd,South Africa,Dhaka,30-Oct-98
West Indies,won,6 wickets,18,lost,2nd,India,Dhaka,31-Oct-98
India,lost,6 wickets,18,won,1st,West Indies,Dhaka,31-Oct-98
South Africa,won,4 wickets,18,won,2nd,West Indies,Dhaka,1-Nov-98
West Indies,lost,4 wickets,18,lost,1st,South Africa,Dhaka,1-Nov-98
Australia,won,86 runs,0,lost,1st,Pakistan,Karachi,6-Nov-98
Pakistan,lost,86 runs,0,won,2nd,Australia,Karachi,6-Nov-98
India,won,3 wickets,5,won,2nd,Sri Lanka,Sharjah,6-Nov-98
Sri Lanka,lost,3 wickets,5,lost,1st,India,Sharjah,6-Nov-98
Australia,won,5 wickets,11,lost,2nd,Pakistan,Peshawar,8-Nov-98
Pakistan,lost,5 wickets,11,won,1st,Australia,Peshawar,8-Nov-98
India,won,81 runs,0,lost,1st,Sri Lanka,Sharjah,9-Nov-98
Sri Lanka,lost,81 runs,0,won,2nd,India,Sharjah,9-Nov-98
Australia,won,6 wickets,7,lost,2nd,Pakistan,Lahore,10-Nov-98
Pakistan,lost,6 wickets,7,won,1st,Australia,Lahore,10-Nov-98
New Zealand,won,5 wickets,6,lost,2nd,India,Taupo,9-Jan-99
India,lost,5 wickets,6,won,1st,New Zealand,Taupo,9-Jan-99
England,won,7 runs,0,won,1st,Australia,Brisbane,10-Jan-99
Australia,lost,7 runs,0,lost,2nd,England,Brisbane,10-Jan-99
England,won,4 wickets,3,lost,2nd,Sri Lanka,Brisbane,11-Jan-99
Sri Lanka,lost,4 wickets,3,won,1st,England,Brisbane,11-Jan-99
India,won,2 wickets,1,won,2nd,New Zealand,Napier,12-Jan-99
New Zealand,lost,2 wickets,1,lost,1st,India,Napier,12-Jan-99
Australia,won,8 wickets,23,lost,2nd,Sri Lanka,Sydney,13-Jan-99
Sri Lanka,lost,8 wickets,23,won,1st,Australia,Sydney,13-Jan-99
Australia,won,9 wickets,64,lost,2nd,England,Melbourne,15-Jan-99
England,lost,9 wickets,64,won,1st,Australia,Melbourne,15-Jan-99
India,won,5 wickets,37,won,2nd,New Zealand,Auckland,16-Jan-99
New Zealand,lost,5 wickets,37,lost,1st,India,Auckland,16-Jan-99
England,won,7 runs,0,won,1st,Australia,Sydney,17-Jan-99
Australia,lost,7 runs,0,lost,2nd,England,Sydney,17-Jan-99
New Zealand,won,70 runs,0,lost,1st,India,Christchurch,19-Jan-99
India,lost,70 runs,0,won,2nd,New Zealand,Christchurch,19-Jan-99
England,won,7 wickets,28,lost,2nd,Sri Lanka,Melbourne,19-Jan-99
Sri Lanka,lost,7 wickets,28,won,1st,England,Melbourne,19-Jan-99
Sri Lanka,won,3 wickets,3,won,2nd,Australia,Hobart,21-Jan-99
Australia,lost,3 wickets,3,lost,1st,Sri Lanka,Hobart,21-Jan-99
South Africa,won,2 wickets,0,won,2nd,West Indies,Johannesburg,22-Jan-99
West Indies,lost,2 wickets,0,lost,1st,South Africa,Johannesburg,22-Jan-99
Sri Lanka,won,1 wickets,2,won,2nd,England,Adelaide,23-Jan-99
England,lost,1 wickets,2,lost,1st,Sri Lanka,Adelaide,23-Jan-99
Australia,won,80 runs,0,lost,1st,Sri Lanka,Adelaide,24-Jan-99
Sri Lanka,lost,80 runs,0,won,2nd,Australia,Adelaide,24-Jan-99
West Indies,won,43 runs,0,lost,1st,South Africa,East London,24-Jan-99
South Africa,lost,43 runs,0,won,2nd,West Indies,East London,24-Jan-99
Australia,won,16 runs,0,won,1st,England,Adelaide,26-Jan-99
England,lost,16 runs,0,lost,2nd,Australia,Adelaide,26-Jan-99
South Africa,won,55 runs,0,won,1st,West Indies,Durban,27-Jan-99
West Indies,lost,55 runs,0,lost,2nd,South Africa,Durban,27-Jan-99
England,won,128 runs,0,lost,1st,Sri Lanka,Perth,29-Jan-99
Sri Lanka,lost,128 runs,0,won,2nd,England,Perth,29-Jan-99
South Africa,won,99 runs,0,lost,1st,West Indies,Port Elizabeth,30-Jan-99
West Indies,lost,99 runs,0,won,2nd,South Africa,Port Elizabeth,30-Jan-99
Australia,won,45 runs,0,lost,1st,Sri Lanka,Perth,31-Jan-99
Sri Lanka,lost,45 runs,0,won,2nd,Australia,Perth,31-Jan-99
South Africa,won,89 runs,0,won,1st,West Indies,Cape Town,2-Feb-99
West Indies,lost,89 runs,0,lost,2nd,South Africa,Cape Town,2-Feb-99
Sri Lanka,won,11 runs,0,lost,1st,England,Sydney,3-Feb-99
England,lost,11 runs,0,won,2nd,Sri Lanka,Sydney,3-Feb-99
Australia,won,4 wickets,18,lost,2nd,England,Sydney,5-Feb-99
England,lost,4 wickets,18,won,1st,Australia,Sydney,5-Feb-99
South Africa,won,114 runs,0,won,1st,West Indies,Bloemfontein,5-Feb-99
West Indies,lost,114 runs,0,lost,2nd,South Africa,Bloemfontein,5-Feb-99
Australia,won,43 runs,0,won,1st,Sri Lanka,Melbourne,7-Feb-99
Sri Lanka,lost,43 runs,0,lost,2nd,Australia,Melbourne,7-Feb-99
South Africa,won,50 runs,0,won,1st,West Indies,Centurion,7-Feb-99
West Indies,lost,50 runs,0,lost,2nd,South Africa,Centurion,7-Feb-99
Australia,won,10 runs,0,won,1st,England,Sydney,10-Feb-99
England,lost,10 runs,0,lost,2nd,Australia,Sydney,10-Feb-99
Australia,won,162 runs,0,won,1st,England,Melbourne,13-Feb-99
England,lost,162 runs,0,lost,2nd,Australia,Melbourne,13-Feb-99
New Zealand,won,3 wickets,5,won,2nd,South Africa,Dunedin,14-Feb-99
South Africa,lost,3 wickets,5,lost,1st,New Zealand,Dunedin,14-Feb-99
South Africa,won,7 wickets,42,lost,2nd,New Zealand,Christchurch,17-Feb-99
New Zealand,lost,7 wickets,42,won,1st,South Africa,Christchurch,17-Feb-99
New Zealand,won,7 wickets,41,won,2nd,South Africa,Auckland,20-Feb-99
South Africa,lost,7 wickets,41,lost,1st,New Zealand,Auckland,20-Feb-99
Pakistan,won,9 runs,0,won,1st,Sri Lanka,Jamshedpur,19-Mar-99
Sri Lanka,lost,9 runs,0,lost,2nd,Pakistan,Jamshedpur,19-Mar-99
India,won,80 runs,0,lost,1st,Sri Lanka,Nagpur,22-Mar-99
Sri Lanka,lost,80 runs,0,won,2nd,India,Nagpur,22-Mar-99
Pakistan,won,143 runs,0,won,1st,India,Jaipur,24-Mar-99
India,lost,143 runs,0,lost,2nd,Pakistan,Jaipur,24-Mar-99
South Africa,won,2 wickets,0,won,2nd,New Zealand,Napier,26-Mar-99
New Zealand,lost,2 wickets,0,lost,1st,South Africa,Napier,26-Mar-99
South Africa,won,143 runs,0,won,1st,New Zealand,Auckland,27-Mar-99
New Zealand,lost,143 runs,0,lost,2nd,South Africa,Auckland,27-Mar-99
Sri Lanka,won,12 runs,0,won,1st,Pakistan,Visakhapatnam,27-Mar-99
Pakistan,lost,12 runs,0,lost,2nd,Sri Lanka,Visakhapatnam,27-Mar-99
India,won,51 runs,0,lost,1st,Sri Lanka,Pune,30-Mar-99
Sri Lanka,lost,51 runs,0,won,2nd,India,Pune,30-Mar-99
Pakistan,won,7 wickets,30,lost,2nd,India,Mohali,1-Apr-99
India,lost,7 wickets,30,won,1st,Pakistan,Mohali,1-Apr-99
Pakistan,won,123 runs,0,won,1st,India,Bangalore,4-Apr-99
India,lost,123 runs,0,lost,2nd,Pakistan,Bangalore,4-Apr-99
Pakistan,won,90 runs,0,won,1st,England,Sharjah,7-Apr-99
England,lost,90 runs,0,lost,2nd,Pakistan,Sharjah,7-Apr-99
Pakistan,won,116 runs,0,won,1st,India,Sharjah,8-Apr-99
India,lost,116 runs,0,lost,2nd,Pakistan,Sharjah,8-Apr-99
India,won,20 runs,0,won,1st,England,Sharjah,9-Apr-99
England,lost,20 runs,0,lost,2nd,India,Sharjah,9-Apr-99
India,won,9 runs,0,won,1st,England,Sharjah,11-Apr-99
England,lost,9 runs,0,lost,2nd,India,Sharjah,11-Apr-99
West Indies,won,44 runs,0,lost,1st,Australia,Kingstown,11-Apr-99
Australia,lost,44 runs,0,won,2nd,West Indies,Kingstown,11-Apr-99
England,won,62 runs,0,won,1st,Pakistan,Sharjah,12-Apr-99
Pakistan,lost,62 runs,0,lost,2nd,England,Sharjah,12-Apr-99
India,won,6 wickets,11,lost,2nd,Pakistan,Sharjah,13-Apr-99
Pakistan,lost,6 wickets,11,won,1st,India,Sharjah,13-Apr-99
Australia,won,46 runs,0,won,1st,West Indies,St George's,14-Apr-99
West Indies,lost,46 runs,0,lost,2nd,Australia,St George's,14-Apr-99
Pakistan,won,8 wickets,132,lost,2nd,India,Sharjah,16-Apr-99
India,lost,8 wickets,132,won,1st,Pakistan,Sharjah,16-Apr-99
West Indies,won,5 wickets,6,lost,2nd,Australia,Port of Spain,17-Apr-99
Australia,lost,5 wickets,6,won,1st,West Indies,Port of Spain,17-Apr-99
Australia,won,20 runs,0,won,1st,West Indies,Port of Spain,18-Apr-99
West Indies,lost,20 runs,0,lost,2nd,Australia,Port of Spain,18-Apr-99
Australia,tied,-,0,won,2nd,West Indies,Georgetown,21-Apr-99
West Indies,tied,-,0,lost,1st,Australia,Georgetown,21-Apr-99
Australia,won,4 wickets,9,lost,2nd,West Indies,Bridgetown,24-Apr-99
West Indies,lost,4 wickets,9,won,1st,Australia,Bridgetown,24-Apr-99
West Indies,won,8 wickets,18,lost,2nd,Australia,Bridgetown,25-Apr-99
Australia,lost,8 wickets,18,won,1st,West Indies,Bridgetown,25-Apr-99
England,won,8 wickets,19,won,2nd,Sri Lanka,Lord's,14-May-99
Sri Lanka,lost,8 wickets,19,lost,1st,England,Lord's,14-May-99
South Africa,won,4 wickets,16,lost,2nd,India,Hove,15-May-99
India,lost,4 wickets,16,won,1st,South Africa,Hove,15-May-99
Pakistan,won,27 runs,0,won,1st,West Indies,Bristol,16-May-99
West Indies,lost,27 runs,0,lost,2nd,Pakistan,Bristol,16-May-99
South Africa,won,89 runs,0,lost,1st,Sri Lanka,Northampton,19-May-99
Sri Lanka,lost,89 runs,0,won,2nd,South Africa,Northampton,19-May-99
New Zealand,won,5 wickets,28,lost,2nd,Australia,Cardiff,20-May-99
Australia,lost,5 wickets,28,won,1st,New Zealand,Cardiff,20-May-99
South Africa,won,122 runs,0,lost,1st,England,The Oval,22-May-99
England,lost,122 runs,0,won,2nd,South Africa,The Oval,22-May-99
Pakistan,won,10 runs,0,lost,1st,Australia,Leeds,23-May-99
Australia,lost,10 runs,0,won,2nd,Pakistan,Leeds,23-May-99
West Indies,won,7 wickets,34,won,2nd,New Zealand,Southampton,24-May-99
New Zealand,lost,7 wickets,34,lost,1st,West Indies,Southampton,24-May-99
India,won,157 runs,0,lost,1st,Sri Lanka,Taunton,26-May-99
Sri Lanka,lost,157 runs,0,won,2nd,India,Taunton,26-May-99
Pakistan,won,62 runs,0,lost,1st,New Zealand,Derby,28-May-99
New Zealand,lost,62 runs,0,won,2nd,Pakistan,Derby,28-May-99
India,won,63 runs,0,lost,1st,England,Birmingham,29-May-99
England,lost,63 runs,0,won,2nd,India,Birmingham,29-May-99
Australia,won,6 wickets,56,won,2nd,West Indies,Manchester,30-May-99
West Indies,lost,6 wickets,56,lost,1st,Australia,Manchester,30-May-99
Australia,won,77 runs,0,lost,1st,India,The Oval,4-Jun-99
India,lost,77 runs,0,won,2nd,Australia,The Oval,4-Jun-99
South Africa,won,3 wickets,6,lost,2nd,Pakistan,Nottingham,5-Jun-99
Pakistan,lost,3 wickets,6,won,1st,South Africa,Nottingham,5-Jun-99
India,won,47 runs,0,won,1st,Pakistan,Manchester,8-Jun-99
Pakistan,lost,47 runs,0,lost,2nd,India,Manchester,8-Jun-99
South Africa,won,74 runs,0,won,1st,New Zealand,Birmingham,10-Jun-99
New Zealand,lost,74 runs,0,lost,2nd,South Africa,Birmingham,10-Jun-99
New Zealand,won,5 wickets,10,lost,2nd,India,Nottingham,12-Jun-99
India,lost,5 wickets,10,won,1st,New Zealand,Nottingham,12-Jun-99
Australia,won,5 wickets,2,lost,2nd,South Africa,Leeds,13-Jun-99
South Africa,lost,5 wickets,2,won,1st,Australia,Leeds,13-Jun-99
Pakistan,won,9 wickets,15,lost,2nd,New Zealand,Manchester,16-Jun-99
New Zealand,lost,9 wickets,15,won,1st,Pakistan,Manchester,16-Jun-99
Australia,tied,-,0,lost,1st,South Africa,Birmingham,17-Jun-99
South Africa,tied,-,0,won,2nd,Australia,Birmingham,17-Jun-99
Australia,won,8 wickets,179,lost,2nd,Pakistan,Lord's,20-Jun-99
Pakistan,lost,8 wickets,179,won,1st,Australia,Lord's,20-Jun-99
Australia,won,50 runs,0,lost,1st,Sri Lanka,Galle,22-Aug-99
Sri Lanka,lost,50 runs,0,won,2nd,Australia,Galle,22-Aug-99
Australia,won,8 wickets,53,lost,2nd,India,Galle,23-Aug-99
India,lost,8 wickets,53,won,1st,Australia,Galle,23-Aug-99
Sri Lanka,won,7 wickets,20,lost,2nd,India,Colombo (RPS),25-Aug-99
India,lost,7 wickets,20,won,1st,Sri Lanka,Colombo (RPS),25-Aug-99
Australia,won,27 runs,0,won,1st,Sri Lanka,Colombo (RPS),26-Aug-99
Sri Lanka,lost,27 runs,0,lost,2nd,Australia,Colombo (RPS),26-Aug-99
Australia,won,41 runs,0,lost,1st,India,Colombo (SSC),28-Aug-99
India,lost,41 runs,0,won,2nd,Australia,Colombo (SSC),28-Aug-99
India,won,23 runs,0,lost,1st,Sri Lanka,Colombo (SSC),29-Aug-99
Sri Lanka,lost,23 runs,0,won,2nd,India,Colombo (SSC),29-Aug-99
Sri Lanka,won,8 wickets,63,lost,2nd,Australia,Colombo (RPS),31-Aug-99
Australia,lost,8 wickets,63,won,1st,Sri Lanka,Colombo (RPS),31-Aug-99
West Indies,won,42 runs,0,won,1st,India,Singapore,5-Sep-99
India,lost,42 runs,0,lost,2nd,West Indies,Singapore,5-Sep-99
West Indies,won,4 wickets,14,won,2nd,India,Singapore,8-Sep-99
India,lost,4 wickets,14,lost,1st,West Indies,Singapore,8-Sep-99
India,won,8 wickets,75,won,2nd,West Indies,Toronto,11-Sep-99
West Indies,lost,8 wickets,75,lost,1st,India,Toronto,11-Sep-99
West Indies,won,70 runs,0,won,1st,India,Toronto,12-Sep-99
India,lost,70 runs,0,lost,2nd,West Indies,Toronto,12-Sep-99
India,won,88 runs,0,lost,1st,West Indies,Toronto,14-Sep-99
West Indies,lost,88 runs,0,won,2nd,India,Toronto,14-Sep-99
Pakistan,won,15 runs,0,won,1st,West Indies,Toronto,16-Sep-99
West Indies,lost,15 runs,0,lost,2nd,Pakistan,Toronto,16-Sep-99
Pakistan,won,42 runs,0,won,1st,West Indies,Toronto,18-Sep-99
West Indies,lost,42 runs,0,lost,2nd,Pakistan,Toronto,18-Sep-99
Pakistan,won,7 wickets,62,lost,2nd,West Indies,Toronto,19-Sep-99
West Indies,lost,7 wickets,62,won,1st,Pakistan,Toronto,19-Sep-99
India,won,8 wickets,164,lost,2nd,South Africa,Nairobi (Gym),26-Sep-99
South Africa,lost,8 wickets,164,won,1st,India,Nairobi (Gym),26-Sep-99
South Africa,won,26 runs,0,lost,1st,India,Nairobi (Gym),3-Oct-99
India,lost,26 runs,0,won,2nd,South Africa,Nairobi (Gym),3-Oct-99
West Indies,won,3 wickets,4,lost,2nd,Sri Lanka,Sharjah,13-Oct-99
Sri Lanka,lost,3 wickets,4,won,1st,West Indies,Sharjah,13-Oct-99
Pakistan,won,130 runs,0,won,1st,West Indies,Sharjah,14-Oct-99
West Indies,lost,130 runs,0,lost,2nd,Pakistan,Sharjah,14-Oct-99
Pakistan,tied,-,0,won,1st,Sri Lanka,Sharjah,15-Oct-99
Sri Lanka,tied,-,0,lost,2nd,Pakistan,Sharjah,15-Oct-99
Sri Lanka,won,9 wickets,132,lost,2nd,West Indies,Sharjah,17-Oct-99
West Indies,lost,9 wickets,132,won,1st,Sri Lanka,Sharjah,17-Oct-99
Pakistan,won,118 runs,0,won,1st,Sri Lanka,Sharjah,18-Oct-99
Sri Lanka,lost,118 runs,0,lost,2nd,Pakistan,Sharjah,18-Oct-99
Pakistan,won,138 runs,0,won,1st,West Indies,Sharjah,19-Oct-99
West Indies,lost,138 runs,0,lost,2nd,Pakistan,Sharjah,19-Oct-99
Pakistan,won,88 runs,0,won,1st,Sri Lanka,Sharjah,22-Oct-99
Sri Lanka,lost,88 runs,0,lost,2nd,Pakistan,Sharjah,22-Oct-99
New Zealand,won,43 runs,0,won,1st,India,Rajkot,5-Nov-99
India,lost,43 runs,0,lost,2nd,New Zealand,Rajkot,5-Nov-99
India,won,174 runs,0,won,1st,New Zealand,Hyderabad (Deccan),8-Nov-99
New Zealand,lost,174 runs,0,lost,2nd,India,Hyderabad (Deccan),8-Nov-99
India,won,14 runs,0,won,1st,New Zealand,Gwalior,11-Nov-99
New Zealand,lost,14 runs,0,lost,2nd,India,Gwalior,11-Nov-99
New Zealand,won,48 runs,0,lost,1st,India,Guwahati,14-Nov-99
India,lost,48 runs,0,won,2nd,New Zealand,Guwahati,14-Nov-99
India,won,7 wickets,36,lost,2nd,New Zealand,Delhi,17-Nov-99
New Zealand,lost,7 wickets,36,won,1st,India,Delhi,17-Nov-99
New Zealand,won,3 wickets,5,lost,2nd,West Indies,Auckland,2-Jan-00
West Indies,lost,3 wickets,5,won,1st,New Zealand,Auckland,2-Jan-00
New Zealand,won,7 wickets,38,won,2nd,West Indies,Taupo,4-Jan-00
West Indies,lost,7 wickets,38,lost,1st,New Zealand,Taupo,4-Jan-00
New Zealand,won,4 wickets,76,lost,2nd,West Indies,Napier,6-Jan-00
West Indies,lost,4 wickets,76,won,1st,New Zealand,Napier,6-Jan-00
New Zealand,won,8 wickets,81,won,2nd,West Indies,Wellington,8-Jan-00
West Indies,lost,8 wickets,81,lost,1st,New Zealand,Wellington,8-Jan-00
Pakistan,won,45 runs,0,won,1st,Australia,Brisbane,9-Jan-00
Australia,lost,45 runs,0,lost,2nd,Pakistan,Brisbane,9-Jan-00
Pakistan,won,2 wickets,0,lost,2nd,India,Brisbane,10-Jan-00
India,lost,2 wickets,0,won,1st,Pakistan,Brisbane,10-Jan-00
New Zealand,won,20 runs,0,won,1st,West Indies,Christchurch,11-Jan-00
