Team,Result,Margin,BR,Toss,Bat,,Opposition,Ground,Start Date
South Africa,lost,27 runs,0,lost,2nd,,v Australia,Brisbane,20/01/2002
Australia,won,8 wickets,188,lost,2nd,,v South Africa,Sydney,22/01/2002
South Africa,lost,8 wickets,188,won,1st,,v Australia,Sydney,22/01/2002
England,won,16 runs,0,lost,1st,,v India,Cuttack,22/01/2002
India,lost,16 runs,0,won,2nd,,v England,Cuttack,22/01/2002
India,won,4 wickets,20,lost,2nd,,v England,Chennai,25/01/2002
England,lost,4 wickets,20,won,1st,,v India,Chennai,25/01/2002
New Zealand,won,77 runs,0,won,1st,,v Australia,Adelaide,26/01/2002
Australia,lost,77 runs,0,lost,2nd,,v New Zealand,Adelaide,26/01/2002
South Africa,won,93 runs,0,won,1st,,v New Zealand,Adelaide,27/01/2002
New Zealand,lost,93 runs,0,lost,2nd,,v South Africa,Adelaide,27/01/2002
India,won,8 wickets,56,lost,2nd,,v England,Kanpur,28/01/2002
England,lost,8 wickets,56,won,1st,,v India,Kanpur,28/01/2002
Australia,won,2 wickets,3,lost,2nd,,v New Zealand,Melbourne,29/01/2002
New Zealand,lost,2 wickets,3,won,1st,,v Australia,Melbourne,29/01/2002
England,won,2 runs,0,lost,1st,,v India,Delhi,31/01/2002
India,lost,2 runs,0,won,2nd,,v England,Delhi,31/01/2002
South Africa,won,67 runs,0,lost,1st,,v New Zealand,Perth,1/02/2002
New Zealand,lost,67 runs,0,won,2nd,,v South Africa,Perth,1/02/2002
Australia,won,33 runs,0,lost,1st,,v South Africa,Perth,3/02/2002
South Africa,lost,33 runs,0,won,2nd,,v Australia,Perth,3/02/2002
England,won,5 runs,0,won,1st,,v India,Mumbai,3/02/2002
India,lost,5 runs,0,lost,2nd,,v England,Mumbai,3/02/2002
South Africa,won,8 wickets,29,lost,2nd,,v New Zealand,Melbourne,6/02/2002
New Zealand,lost,8 wickets,29,won,1st,,v South Africa,Melbourne,6/02/2002
South Africa,won,6 wickets,47,lost,2nd,,v New Zealand,Sydney,8/02/2002
New Zealand,lost,6 wickets,47,won,1st,,v South Africa,Sydney,8/02/2002
New Zealand,won,4 wickets,21,lost,2nd,,v England,Christchurch,13/02/2002
England,lost,4 wickets,21,won,1st,,v New Zealand,Christchurch,13/02/2002
Pakistan,won,4 wickets,23,lost,2nd,,v West Indies,Sharjah,14/02/2002
West Indies,lost,4 wickets,23,won,1st,,v Pakistan,Sharjah,14/02/2002
Pakistan,won,51 runs,0,won,1st,,v West Indies,Sharjah,15/02/2002
West Indies,lost,51 runs,0,lost,2nd,,v Pakistan,Sharjah,15/02/2002
New Zealand,won,155 runs,0,lost,1st,,v England,Wellington,16/02/2002
England,lost,155 runs,0,won,2nd,,v New Zealand,Wellington,16/02/2002
West Indies,won,110 runs,0,won,1st,,v Pakistan,Sharjah,17/02/2002
Pakistan,lost,110 runs,0,lost,2nd,,v West Indies,Sharjah,17/02/2002
England,won,43 runs,0,lost,1st,,v New Zealand,Napier,20/02/2002
New Zealand,lost,43 runs,0,won,2nd,,v England,Napier,20/02/2002
England,won,33 runs,0,won,1st,,v New Zealand,Auckland,23/02/2002
New Zealand,lost,33 runs,0,lost,2nd,,v England,Auckland,23/02/2002
New Zealand,won,5 wickets,7,lost,2nd,,v England,Dunedin,26/02/2002
England,lost,5 wickets,7,won,1st,,v New Zealand,Dunedin,26/02/2002
Australia,won,19 runs,0,won,1st,,v South Africa,Johannesburg,22/03/2002
South Africa,lost,19 runs,0,lost,2nd,,v Australia,Johannesburg,22/03/2002
Australia,won,45 runs,0,lost,1st,,v South Africa,Centurion,24/03/2002
South Africa,lost,45 runs,0,won,2nd,,v Australia,Centurion,24/03/2002
Australia,tied,-,0,lost,2nd,,v South Africa,Potchefstroom,27/03/2002
South Africa,tied,-,0,won,1st,,v Australia,Potchefstroom,27/03/2002
Australia,won,37 runs,0,won,1st,,v South Africa,Bloemfontein,30/03/2002
South Africa,lost,37 runs,0,lost,2nd,,v Australia,Bloemfontein,30/03/2002
Australia,won,8 wickets,13,won,2nd,,v South Africa,Durban,3/04/2002
South Africa,lost,8 wickets,13,lost,1st,,v Australia,Durban,3/04/2002
Australia,won,3 wickets,5,lost,2nd,,v South Africa,Port Elizabeth,6/04/2002
South Africa,lost,3 wickets,5,won,1st,,v Australia,Port Elizabeth,6/04/2002
Sri Lanka,won,41 runs,0,won,1st,,v Pakistan,Sharjah,8/04/2002
Pakistan,lost,41 runs,0,lost,2nd,,v Sri Lanka,Sharjah,8/04/2002
New Zealand,won,11 runs,0,won,1st,,v Sri Lanka,Sharjah,9/04/2002
Sri Lanka,lost,11 runs,0,lost,2nd,,v New Zealand,Sharjah,9/04/2002
South Africa,won,65 runs,0,lost,1st,,v Australia,Cape Town,9/04/2002
Australia,lost,65 runs,0,won,2nd,,v South Africa,Cape Town,9/04/2002
Pakistan,won,51 runs,0,won,1st,,v New Zealand,Sharjah,11/04/2002
New Zealand,lost,51 runs,0,lost,2nd,,v Pakistan,Sharjah,11/04/2002
Sri Lanka,won,9 runs,0,won,1st,,v Pakistan,Sharjah,12/04/2002
Pakistan,lost,9 runs,0,lost,2nd,,v Sri Lanka,Sharjah,12/04/2002
Sri Lanka,won,46 runs,0,won,1st,,v New Zealand,Sharjah,14/04/2002
New Zealand,lost,46 runs,0,lost,2nd,,v Sri Lanka,Sharjah,14/04/2002
Pakistan,won,8 wickets,105,lost,2nd,,v New Zealand,Sharjah,15/04/2002
New Zealand,lost,8 wickets,105,won,1st,,v Pakistan,Sharjah,15/04/2002
Pakistan,won,217 runs,0,won,1st,,v Sri Lanka,Sharjah,17/04/2002
Sri Lanka,lost,217 runs,0,lost,2nd,,v Pakistan,Sharjah,17/04/2002
Pakistan,won,153 runs,0,won,1st,,v New Zealand,Karachi,21/04/2002
New Zealand,lost,153 runs,0,lost,2nd,,v Pakistan,Karachi,21/04/2002
Pakistan,won,3 wickets,17,lost,2nd,,v New Zealand,Rawalpindi,24/04/2002
New Zealand,lost,3 wickets,17,won,1st,,v Pakistan,Rawalpindi,24/04/2002
Pakistan,won,66 runs,0,won,1st,,v New Zealand,Lahore,27/04/2002
New Zealand,lost,66 runs,0,lost,2nd,,v Pakistan,Lahore,27/04/2002
India,won,7 wickets,31,won,2nd,,v West Indies,Bridgetown,29/05/2002
West Indies,lost,7 wickets,31,lost,1st,,v India,Bridgetown,29/05/2002
West Indies,won,7 wickets,17,lost,2nd,,v India,Port of Spain,1/06/2002
India,lost,7 wickets,17,won,1st,,v West Indies,Port of Spain,1/06/2002
India,won,56 runs,0,won,1st,,v West Indies,Port of Spain,2/06/2002
West Indies,lost,56 runs,0,lost,2nd,,v India,Port of Spain,2/06/2002
West Indies,won,6 wickets,5,won,2nd,,v New Zealand,Gros Islet,8/06/2002
New Zealand,lost,6 wickets,5,lost,1st,,v West Indies,Gros Islet,8/06/2002
West Indies,won,7 wickets,60,lost,2nd,,v New Zealand,Gros Islet,9/06/2002
New Zealand,lost,7 wickets,60,won,1st,,v West Indies,Gros Islet,9/06/2002
Australia,won,7 wickets,103,won,2nd,,v Pakistan,Melbourne (Docklands),12/06/2002
Pakistan,lost,7 wickets,103,lost,1st,,v Australia,Melbourne (Docklands),12/06/2002
New Zealand,won,9 runs,0,won,1st,,v West Indies,Port of Spain,12/06/2002
West Indies,lost,9 runs,0,lost,2nd,,v New Zealand,Port of Spain,12/06/2002
Pakistan,won,2 wickets,7,lost,2nd,,v Australia,Melbourne (Docklands),15/06/2002
Australia,lost,2 wickets,7,won,1st,,v Pakistan,Melbourne (Docklands),15/06/2002
West Indies,won,4 wickets,0,lost,2nd,,v New Zealand,Kingstown,16/06/2002
New Zealand,lost,4 wickets,0,won,1st,,v West Indies,Kingstown,16/06/2002
Pakistan,won,91 runs,0,won,1st,,v Australia,Brisbane,19/06/2002
Australia,lost,91 runs,0,lost,2nd,,v Pakistan,Brisbane,19/06/2002
England,won,44 runs,0,won,1st,,v Sri Lanka,Nottingham,27/06/2002
Sri Lanka,lost,44 runs,0,lost,2nd,,v England,Nottingham,27/06/2002
India,won,6 wickets,7,lost,2nd,,v England,Lord's,29/06/2002
England,lost,6 wickets,7,won,1st,,v India,Lord's,29/06/2002
India,won,4 wickets,28,lost,2nd,,v Sri Lanka,The Oval,30/06/2002
Sri Lanka,lost,4 wickets,28,won,1st,,v India,The Oval,30/06/2002
England,won,3 wickets,4,won,2nd,,v Sri Lanka,Leeds,2/07/2002
Sri Lanka,lost,3 wickets,4,lost,1st,,v England,Leeds,2/07/2002
India,won,4 wickets,11,won,2nd,,v Sri Lanka,Birmingham,6/07/2002
Sri Lanka,lost,4 wickets,11,lost,1st,,v India,Birmingham,6/07/2002
Sri Lanka,won,23 runs,0,won,1st,,v England,Manchester,7/07/2002
England,lost,23 runs,0,lost,2nd,,v Sri Lanka,Manchester,7/07/2002
England,won,64 runs,0,lost,1st,,v India,The Oval,9/07/2002
India,lost,64 runs,0,won,2nd,,v England,The Oval,9/07/2002
India,won,63 runs,0,won,1st,,v Sri Lanka,Bristol,11/07/2002
Sri Lanka,lost,63 runs,0,lost,2nd,,v India,Bristol,11/07/2002
India,won,2 wickets,3,lost,2nd,,v England,Lord's,13/07/2002
England,lost,2 wickets,3,won,1st,,v India,Lord's,13/07/2002
South Africa,won,54 runs,0,won,1st,,v Pakistan,Tangier,12/08/2002
Pakistan,lost,54 runs,0,lost,2nd,,v South Africa,Tangier,12/08/2002
Pakistan,won,28 runs,0,lost,1st,,v Sri Lanka,Tangier,14/08/2002
Sri Lanka,lost,28 runs,0,won,2nd,,v Pakistan,Tangier,14/08/2002
Sri Lanka,won,93 runs,0,won,1st,,v South Africa,Tangier,15/08/2002
South Africa,lost,93 runs,0,lost,2nd,,v Sri Lanka,Tangier,15/08/2002
Sri Lanka,won,39 runs,0,won,1st,,v Pakistan,Tangier,17/08/2002
Pakistan,lost,39 runs,0,lost,2nd,,v Sri Lanka,Tangier,17/08/2002
South Africa,won,8 runs,0,won,1st,,v Pakistan,Tangier,18/08/2002
Pakistan,lost,8 runs,0,lost,2nd,,v South Africa,Tangier,18/08/2002
Sri Lanka,won,6 wickets,47,lost,2nd,,v South Africa,Tangier,19/08/2002
South Africa,lost,6 wickets,47,won,1st,,v Sri Lanka,Tangier,19/08/2002
Sri Lanka,won,27 runs,0,won,1st,,v South Africa,Tangier,21/08/2002
South Africa,lost,27 runs,0,lost,2nd,,v Sri Lanka,Tangier,21/08/2002
Australia,won,224 runs,0,lost,1st,,v Pakistan,Nairobi (Gym),30/08/2002
Pakistan,lost,224 runs,0,won,2nd,,v Australia,Nairobi (Gym),30/08/2002
Australia,won,9 wickets,185,lost,2nd,,v Pakistan,Nairobi (Gym),4/09/2002
Pakistan,lost,9 wickets,185,won,1st,,v Australia,Nairobi (Gym),4/09/2002
Sri Lanka,won,8 wickets,83,lost,2nd,,v Pakistan,Colombo (RPS),12/09/2002
Pakistan,lost,8 wickets,83,won,1st,,v Sri Lanka,Colombo (RPS),12/09/2002
South Africa,won,2 wickets,0,won,2nd,,v West Indies,Colombo (SSC),13/09/2002
West Indies,lost,2 wickets,0,lost,1st,,v South Africa,Colombo (SSC),13/09/2002
Australia,won,164 runs,0,won,1st,,v New Zealand,Colombo (SSC),15/09/2002
New Zealand,lost,164 runs,0,lost,2nd,,v Australia,Colombo (SSC),15/09/2002
India,won,8 wickets,63,lost,2nd,,v England,Colombo (RPS),22/09/2002
England,lost,8 wickets,63,won,1st,,v India,Colombo (RPS),22/09/2002
India,won,10 runs,0,won,1st,,v South Africa,Colombo (RPS),25/09/2002
South Africa,lost,10 runs,0,lost,2nd,,v India,Colombo (RPS),25/09/2002
Sri Lanka,won,7 wickets,60,lost,2nd,,v Australia,Colombo (RPS),27/09/2002
Australia,lost,7 wickets,60,won,1st,,v Sri Lanka,Colombo (RPS),27/09/2002
West Indies,won,4 wickets,0,lost,2nd,,v India,Jamshedpur,6/11/2002
India,lost,4 wickets,0,won,1st,,v West Indies,Jamshedpur,6/11/2002
West Indies,won,7 wickets,4,won,2nd,,v India,Nagpur,9/11/2002
India,lost,7 wickets,4,lost,1st,,v West Indies,Nagpur,9/11/2002
India,won,81 runs,0,won,2nd,,v West Indies,Rajkot,12/11/2002
West Indies,lost,81 runs,0,lost,1st,,v India,Rajkot,12/11/2002
India,won,5 wickets,14,won,2nd,,v West Indies,Ahmedabad,15/11/2002
West Indies,lost,5 wickets,14,lost,1st,,v India,Ahmedabad,15/11/2002
West Indies,won,5 wickets,7,won,2nd,,v India,Vadodara,18/11/2002
India,lost,5 wickets,7,lost,1st,,v West Indies,Vadodara,18/11/2002
India,won,3 wickets,22,won,2nd,,v West Indies,Jodhpur,21/11/2002
West Indies,lost,3 wickets,22,lost,1st,,v India,Jodhpur,21/11/2002
West Indies,won,135 runs,0,lost,1st,,v India,Vijayawada,24/11/2002
India,lost,135 runs,0,won,2nd,,v West Indies,Vijayawada,24/11/2002
South Africa,won,6 wickets,123,won,2nd,,v Sri Lanka,Johannesburg,27/11/2002
Sri Lanka,lost,6 wickets,123,lost,1st,,v South Africa,Johannesburg,27/11/2002
South Africa,won,177 runs,0,won,1st,,v Sri Lanka,Centurion,29/11/2002
Sri Lanka,lost,177 runs,0,lost,2nd,,v South Africa,Centurion,29/11/2002
Sri Lanka,won,7 wickets,50,won,2nd,,v South Africa,Benoni,1/12/2002
South Africa,lost,7 wickets,50,lost,1st,,v Sri Lanka,Benoni,1/12/2002
South Africa,won,8 wickets,115,won,2nd,,v Sri Lanka,Kimberley,4/12/2002
Sri Lanka,lost,8 wickets,115,lost,1st,,v South Africa,Kimberley,4/12/2002
South Africa,won,6 wickets,29,lost,2nd,,v Sri Lanka,Bloemfontein,6/12/2002
Sri Lanka,lost,6 wickets,29,won,1st,,v South Africa,Bloemfontein,6/12/2002
South Africa,won,132 runs,0,lost,1st,,v Pakistan,Durban,8/12/2002
Pakistan,lost,132 runs,0,won,2nd,,v South Africa,Durban,8/12/2002
Pakistan,won,182 runs,0,won,1st,,v South Africa,Port Elizabeth,11/12/2002
South Africa,lost,182 runs,0,lost,2nd,,v Pakistan,Port Elizabeth,11/12/2002
Australia,won,7 wickets,30,lost,2nd,,v England,Sydney,13/12/2002
England,lost,7 wickets,30,won,1st,,v Australia,Sydney,13/12/2002
South Africa,won,62 runs,0,won,1st,,v Pakistan,East London,13/12/2002
Pakistan,lost,62 runs,0,lost,2nd,,v South Africa,East London,13/12/2002
Australia,won,89 runs,0,won,1st,,v England,Melbourne,15/12/2002
England,lost,89 runs,0,lost,2nd,,v Australia,Melbourne,15/12/2002
South Africa,won,9 wickets,48,lost,2nd,,v Pakistan,Paarl,16/12/2002
Pakistan,lost,9 wickets,48,won,1st,,v South Africa,Paarl,16/12/2002
England,won,43 runs,0,won,1st,,v Sri Lanka,Brisbane,17/12/2002
Sri Lanka,lost,43 runs,0,lost,2nd,,v England,Brisbane,17/12/2002
South Africa,won,34 runs,0,won,1st,,v Pakistan,Cape Town,18/12/2002
Pakistan,lost,34 runs,0,lost,2nd,,v South Africa,Cape Town,18/12/2002
England,won,95 runs,0,won,1st,,v Sri Lanka,Perth,20/12/2002
Sri Lanka,lost,95 runs,0,lost,2nd,,v England,Perth,20/12/2002
Australia,won,142 runs,0,won,1st,,v Sri Lanka,Perth,22/12/2002
Sri Lanka,lost,142 runs,0,lost,2nd,,v Australia,Perth,22/12/2002
New Zealand,won,3 wickets,74,won,2nd,,v India,Auckland,26/12/2002
India,lost,3 wickets,74,lost,1st,,v New Zealand,Auckland,26/12/2002
New Zealand,won,35 runs,0,lost,1st,,v India,Napier,29/12/2002
India,lost,35 runs,0,won,2nd,,v New Zealand,Napier,29/12/2002
New Zealand,won,5 wickets,139,lost,2nd,,v India,Christchurch,1/01/2003
India,lost,5 wickets,139,won,1st,,v New Zealand,Christchurch,1/01/2003
New Zealand,won,7 wickets,146,won,2nd,,v India,Queenstown,4/01/2003
India,lost,7 wickets,146,lost,1st,,v New Zealand,Queenstown,4/01/2003
India,won,2 wickets,40,lost,2nd,,v New Zealand,Wellington,8/01/2003
New Zealand,lost,2 wickets,40,won,1st,,v India,Wellington,8/01/2003
Sri Lanka,won,79 runs,0,lost,1st,,v Australia,Sydney,9/01/2003
Australia,lost,79 runs,0,won,2nd,,v Sri Lanka,Sydney,9/01/2003
Australia,won,7 runs,0,won,1st,,v England,Hobart,11/01/2003
England,lost,7 runs,0,lost,2nd,,v Australia,Hobart,11/01/2003
India,won,1 wickets,1,won,2nd,,v New Zealand,Auckland,11/01/2003
New Zealand,lost,1 wickets,1,lost,1st,,v India,Auckland,11/01/2003
Sri Lanka,won,31 runs,0,won,1st,,v England,Sydney,13/01/2003
England,lost,31 runs,0,lost,2nd,,v Sri Lanka,Sydney,13/01/2003
New Zealand,won,6 wickets,128,won,2nd,,v India,Hamilton,14/01/2003
India,lost,6 wickets,128,lost,1st,,v New Zealand,Hamilton,14/01/2003
Australia,won,4 wickets,7,lost,2nd,,v Sri Lanka,Brisbane,15/01/2003
Sri Lanka,lost,4 wickets,7,won,1st,,v Australia,Brisbane,15/01/2003
England,won,19 runs,0,won,1st,,v Sri Lanka,Adelaide,17/01/2003
Sri Lanka,lost,19 runs,0,lost,2nd,,v England,Adelaide,17/01/2003
Australia,won,4 wickets,15,lost,2nd,,v England,Adelaide,19/01/2003
England,lost,4 wickets,15,won,1st,,v Australia,Adelaide,19/01/2003
Australia,won,9 wickets,93,lost,2nd,,v Sri Lanka,Melbourne,21/01/2003
Sri Lanka,lost,9 wickets,93,won,1st,,v Australia,Melbourne,21/01/2003
Australia,won,10 wickets,226,lost,2nd,,v England,Sydney,23/01/2003
England,lost,10 wickets,226,won,1st,,v Australia,Sydney,23/01/2003
Australia,won,5 runs,0,won,1st,,v England,Melbourne,25/01/2003
England,lost,5 runs,0,lost,2nd,,v Australia,Melbourne,25/01/2003
West Indies,won,3 runs,0,won,1st,,v South Africa,Cape Town,9/02/2003
South Africa,lost,3 runs,0,lost,2nd,,v West Indies,Cape Town,9/02/2003
Sri Lanka,won,47 runs,0,lost,1st,,v New Zealand,Bloemfontein,10/02/2003
New Zealand,lost,47 runs,0,won,2nd,,v Sri Lanka,Bloemfontein,10/02/2003
Australia,won,82 runs,0,lost,1st,,v Pakistan,Johannesburg,11/02/2003
Pakistan,lost,82 runs,0,won,2nd,,v Australia,Johannesburg,11/02/2003
New Zealand,won,20 runs,0,lost,1st,,v West Indies,Port Elizabeth,13/02/2003
West Indies,lost,20 runs,0,won,2nd,,v New Zealand,Port Elizabeth,13/02/2003
Australia,won,9 wickets,166,lost,2nd,,v India,Centurion,15/02/2003
India,lost,9 wickets,166,won,1st,,v Australia,Centurion,15/02/2003
New Zealand,won,9 wickets,13,lost,2nd,,v South Africa,Johannesburg,16/02/2003
South Africa,lost,9 wickets,13,won,1st,,v New Zealand,Johannesburg,16/02/2003
England,won,112 runs,0,won,1st,,v Pakistan,Cape Town,22/02/2003
Pakistan,lost,112 runs,0,lost,2nd,,v England,Cape Town,22/02/2003
India,won,82 runs,0,won,1st,,v England,Durban,26/02/2003
England,lost,82 runs,0,lost,2nd,,v India,Durban,26/02/2003
Sri Lanka,won,6 runs,0,won,1st,,v West Indies,Cape Town,28/02/2003
West Indies,lost,6 runs,0,lost,2nd,,v Sri Lanka,Cape Town,28/02/2003
India,won,6 wickets,26,lost,2nd,,v Pakistan,Centurion,1/03/2003
Pakistan,lost,6 wickets,26,won,1st,,v India,Centurion,1/03/2003
Australia,won,2 wickets,2,lost,2nd,,v England,Port Elizabeth,2/03/2003
England,lost,2 wickets,2,won,1st,,v Australia,Port Elizabeth,2/03/2003
South Africa,tied,-,0,lost,2nd,,v Sri Lanka,Durban,3/03/2003
Sri Lanka,tied,-,0,won,1st,,v South Africa,Durban,3/03/2003
Australia,won,96 runs,0,won,1st,,v Sri Lanka,Centurion,7/03/2003
Sri Lanka,lost,96 runs,0,lost,2nd,,v Australia,Centurion,7/03/2003
India,won,183 runs,0,lost,1st,,v Sri Lanka,Johannesburg,10/03/2003
Sri Lanka,lost,183 runs,0,won,2nd,,v India,Johannesburg,10/03/2003
Australia,won,96 runs,0,lost,1st,,v New Zealand,Port Elizabeth,11/03/2003
New Zealand,lost,96 runs,0,won,2nd,,v Australia,Port Elizabeth,11/03/2003
India,won,7 wickets,56,won,2nd,,v New Zealand,Centurion,14/03/2003
New Zealand,lost,7 wickets,56,lost,1st,,v India,Centurion,14/03/2003
Australia,won,48 runs,0,won,1st,,v Sri Lanka,Port Elizabeth,18/03/2003
Sri Lanka,lost,48 runs,0,lost,2nd,,v Australia,Port Elizabeth,18/03/2003
Australia,won,125 runs,0,lost,1st,,v India,Johannesburg,23/03/2003
India,lost,125 runs,0,won,2nd,,v Australia,Johannesburg,23/03/2003
Pakistan,won,7 wickets,16,lost,2nd,,v Sri Lanka,Sharjah,4/04/2003
Sri Lanka,lost,7 wickets,16,won,1st,,v Pakistan,Sharjah,4/04/2003
India,won,153 runs,0,won,1st,,v South Africa,Dhaka,13/04/2003
South Africa,lost,153 runs,0,lost,2nd,,v India,Dhaka,13/04/2003
South Africa,won,5 wickets,8,lost,2nd,,v India,Dhaka,18/04/2003
India,lost,5 wickets,8,won,1st,,v South Africa,Dhaka,18/04/2003
Pakistan,won,79 runs,0,lost,1st,,v Sri Lanka,Dambulla,10/05/2003
Sri Lanka,lost,79 runs,0,won,2nd,,v Pakistan,Dambulla,10/05/2003
New Zealand,won,7 wickets,135,won,2nd,,v Pakistan,Dambulla,11/05/2003
Pakistan,lost,7 wickets,135,lost,1st,,v New Zealand,Dambulla,11/05/2003
Sri Lanka,won,5 wickets,14,won,2nd,,v New Zealand,Dambulla,13/05/2003
New Zealand,lost,5 wickets,14,lost,1st,,v Sri Lanka,Dambulla,13/05/2003
Australia,won,2 runs,0,lost,1st,,v West Indies,Kingston,17/05/2003
West Indies,lost,2 runs,0,won,2nd,,v Australia,Kingston,17/05/2003
Sri Lanka,won,12 runs,0,lost,1st,,v Pakistan,Dambulla,18/05/2003
Pakistan,lost,12 runs,0,won,2nd,,v Sri Lanka,Dambulla,18/05/2003
Australia,won,8 wickets,89,lost,2nd,,v West Indies,Kingston,18/05/2003
West Indies,lost,8 wickets,89,won,1st,,v Australia,Kingston,18/05/2003
New Zealand,won,9 runs,0,lost,1st,,v Sri Lanka,Dambulla,19/05/2003
Sri Lanka,lost,9 runs,0,won,2nd,,v New Zealand,Dambulla,19/05/2003
Pakistan,won,22 runs,0,lost,1st,,v New Zealand,Dambulla,20/05/2003
New Zealand,lost,22 runs,0,won,2nd,,v Pakistan,Dambulla,20/05/2003
Australia,won,25 runs,0,lost,1st,,v West Indies,Gros Islet,21/05/2003
West Indies,lost,25 runs,0,won,2nd,,v Australia,Gros Islet,21/05/2003
New Zealand,won,4 wickets,28,lost,2nd,,v Pakistan,Dambulla,23/05/2003
Pakistan,lost,4 wickets,28,won,1st,,v New Zealand,Dambulla,23/05/2003
Australia,won,67 runs,0,won,1st,,v West Indies,Port of Spain,24/05/2003
West Indies,lost,67 runs,0,lost,2nd,,v Australia,Port of Spain,24/05/2003
West Indies,won,39 runs,0,won,1st,,v Australia,Port of Spain,25/05/2003
Australia,lost,39 runs,0,lost,2nd,,v West Indies,Port of Spain,25/05/2003
West Indies,won,3 wickets,8,lost,2nd,,v Australia,St George's,30/05/2003
Australia,lost,3 wickets,8,won,1st,,v West Indies,St George's,30/05/2003
West Indies,won,9 wickets,39,lost,2nd,,v Australia,St George's,1/06/2003
Australia,lost,9 wickets,39,won,1st,,v West Indies,St George's,1/06/2003
Sri Lanka,won,55 runs,0,lost,1st,,v West Indies,Bridgetown,7/06/2003
West Indies,lost,55 runs,0,won,2nd,,v Sri Lanka,Bridgetown,7/06/2003
Sri Lanka,won,4 wickets,3,lost,2nd,,v West Indies,Bridgetown,8/06/2003
West Indies,lost,4 wickets,3,won,1st,,v Sri Lanka,Bridgetown,8/06/2003
West Indies,won,6 wickets,31,won,2nd,,v Sri Lanka,Kingstown,11/06/2003
Sri Lanka,lost,6 wickets,31,lost,1st,,v West Indies,Kingstown,11/06/2003
Pakistan,won,2 wickets,4,lost,2nd,,v England,Manchester,17/06/2003
England,lost,2 wickets,4,won,1st,,v Pakistan,Manchester,17/06/2003
England,won,7 wickets,168,lost,2nd,,v Pakistan,The Oval,20/06/2003
Pakistan,lost,7 wickets,168,won,1st,,v England,The Oval,20/06/2003
England,won,4 wickets,9,won,2nd,,v Pakistan,Lord's,22/06/2003
Pakistan,lost,4 wickets,9,lost,1st,,v England,Lord's,22/06/2003
England,won,6 wickets,25,lost,2nd,,v South Africa,The Oval,28/06/2003
